hexchat-git 2.14.2.r65.g090fd29a-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
highlight 3.62-1
hspell 1.4-3
htop 3.0.5-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hwids 20201207-1
hwloc 2.4.0-1
hyphen 2.8.8-3
i2c-tools 4.2-1
iana-etc 20210202-1
icat-git v0.5.r1.02c76a3-1
icu 68.2-1
ijs 0.35-3
imagemagick 7.0.11.5-1
imgcat-git 2.5.0.r246.c69bebd-1
imlib2 1.7.1-1
inetutils 1.9.4-8
iniparser 4.1-3
intel-mkl 2020.4.304-1
intel-ucode 20210216-1
iproute2 5.11.0-1
iptables 1:1.8.7-1
iputils 20200821-1
ipython 7.22.0-1
iso-codes 4.6.0-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.27-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 15.0.2.u7-1
jdk8-openjdk 8.u282-1
jemalloc 1:5.2.1-3
jetbrains-toolbox 1.20.7940-1
jpegexiforient 1:20090111.b4f886f-2
jq 1.6-4
jre-openjdk 15.0.2.u7-1
jre-openjdk-headless 15.0.2.u7-1
jre8-openjdk 8.u282-1
jre8-openjdk-headless 8.u282-1
js78 78.9.0-1
json-c 0.15-1
json-glib 1.6.2-1
jsoncpp 1.9.4-1
kaccounts-integration 21.03.80-1
karchive 5.80.0-1
kauth 5.80.0-1
kbd 2.4.0-2
kbookmarks 5.80.0-1
kcmutils 5.80.0-1
kcodecs 5.80.0-1
kcompletion 5.80.0-1
kconfig 5.80.0-1
kconfigwidgets 5.80.0-1
kcontacts 1:5.80.0-1
kcoreaddons 5.80.0-1
kcrash 5.80.0-1
kdbusaddons 5.80.0-1
kde1-kdebase-git 1.1.2r6190.29e0e56ee-1
kde1-kdelibs-git 1.1.2r3077.5a18e8bd-1
kdeclarative 5.80.0-1
kdeconnect 21.03.80-1
kded 5.80.0-1
kdenlive 21.03.80-1
keyutils 1.6.3-1
kfilemetadata 5.80.0-1
kglobalaccel 5.80.0-2
kguiaddons 5.80.0-1
ki18n 5.80.0-1
kiconthemes 5.80.0-2
kio 5.80.1-2
kirigami2 5.80.0-1
kitemviews 5.80.0-1
kitty-git 0.19.3.r420.g4edbe0ea-1
kitty-terminfo-git 0.19.3.r420.g4edbe0ea-1
kjobwidgets 5.80.0-1
kmod 28-1
knewstuff 5.80.0-1
knotifications 5.80.0-1
knotifyconfig 5.80.0-1
kpackage 5.80.0-1
kpeople 5.80.0-1
kpeoplevcard 0.1-1
krb5 1.19.1-1
kservice 5.80.0-1
ktextwidgets 5.80.0-1
kwallet 5.80.0-1
kwayland 5.80.0-1
kwidgetsaddons 5.80.0-1
kwindowsystem 5.80.0-1
kxmlgui 5.80.0-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.9.0-3
lci-git 0.10.5.r27.g6762b72-1
lcms2 2.12-1
ldb 1:2.3.0-1
ldns 1.7.1-2
less 1:563-1
lhasa 0.3.1-3
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.4-2
lib32-alsa-plugins 1.2.2-1
lib32-at-spi2-atk 2.38.0-1
lib32-at-spi2-core 2.40.0-1
lib32-atk 2.36.0-2
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-1
lib32-bzip2 1.0.8-2
lib32-cairo 1.17.4-5
lib32-colord 1.4.5-2
lib32-curl 7.75.0-1
lib32-db 5.3.28-4
lib32-dbus 1.12.20-1
lib32-dconf 0.40.0-1
lib32-e2fsprogs 1.46.2-2
lib32-expat 2.3.0-1
lib32-faudio 21.03.05-1
lib32-flac 1.3.3-1
lib32-fluidsynth 2.1.8-1
lib32-fontconfig 2:2.13.93-4
lib32-freetype2 2.10.4-1
lib32-fribidi 1.0.10-1
lib32-gcc-libs 10.2.0-6
lib32-gdk-pixbuf2 2.42.4-1
lib32-gettext 0.21-1
lib32-giflib 5.2.1-1
lib32-glib-networking 2.68.0-1
lib32-glib2 2.68.0-5
lib32-glibc 2.33-4
lib32-glu 9.0.1-1
lib32-gmp 6.2.1-1
lib32-gnutls 3.7.1-1
lib32-gst-plugins-base-libs 1.18.4-1
lib32-gstreamer 1.18.4-1
lib32-gtk3 3.24.27-2
lib32-harfbuzz 2.8.0-1
lib32-icu 68.2-1
lib32-jack 0.125.0-3
lib32-json-glib 1.6.2-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.1-1
lib32-lcms2 2.12-1
lib32-libasyncns 0.8+3+g68cd5af-2
lib32-libcanberra 0.30+2+gc0620e4-3
lib32-libcanberra-gstreamer 0.30+2+gc0620e4-3
lib32-libcanberra-pulse 0.30+2+gc0620e4-3
lib32-libcap 2.49-1
lib32-libcups 2.3.3-1
lib32-libdatrie 0.2.13-1
lib32-libdrm 2.4.104-1
lib32-libelf 0.183-3
lib32-libepoxy 1.5.5-1
lib32-libffi 3.3-2
lib32-libgcrypt 1.9.2-1
lib32-libglvnd 1.3.2-1
lib32-libgpg-error 1.41-1
lib32-libgudev 236-1
lib32-libgusb 0.3.6-1
lib32-libice 1.0.10-1
lib32-libidn2 2.3.0-1
lib32-libinstpatch 1.1.6-1
lib32-libjpeg-turbo 2.0.6-1
lib32-libldap 2.4.58-1
lib32-libltdl 2.4.6+42+gb88cebd5-1
lib32-libnl 3.5.0-1
lib32-libnsl 1.3.0-1
